BenchMarkFunction, Test Number, Harmony Memory Size Test Number, Dimensions, Search Range, Adjustment Range, Harmony Memory Size, Acceptance Rate, Best Result, Current Result, Coordenadas ,,,,,,,,,,,,,,,,,,,
sphere,1,0,1,-20,0.7,20,0.95,3.70E-08,0.000192324,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,1,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,2,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,3,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,4,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,5,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,6,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,7,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,8,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,9,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,10,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,11,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,12,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,13,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,14,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,15,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,16,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,17,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,18,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,1,19,1,-20,0.7,20,0.95,3.70E-08,undefined,0.000192324,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,0,1,-20,0.7,20,0.95,1.23438E-06,-0.001111024,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,1,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,2,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,3,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,4,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,5,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,6,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,7,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,8,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,9,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,10,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,11,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,12,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,13,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,14,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,15,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,16,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,17,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,18,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,2,19,1,-20,0.7,20,0.95,1.23438E-06,undefined,-0.001111024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,0,1,-20,0.7,20,0.95,8.00E-10,-2.82804E-05,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,1,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,2,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,3,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,4,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,5,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,6,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,7,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,8,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,9,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,10,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,11,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,12,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,13,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,14,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,15,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,16,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,17,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,18,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,3,19,1,-20,0.7,20,0.95,8.00E-10,undefined,-2.82804E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,0,1,-20,0.7,20,0.95,1.85857E-06,0.001363293,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,1,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,2,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,3,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,4,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,5,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,6,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,7,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,8,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,9,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,10,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,11,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,12,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,13,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,14,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,15,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,16,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,17,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,18,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,4,19,1,-20,0.7,20,0.95,1.85857E-06,undefined,0.001363293,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,0,1,-20,0.7,20,0.95,2.20E-07,-0.000469049,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,1,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,2,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,3,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,4,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,5,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,6,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,7,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,8,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,9,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,10,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,11,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,12,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,13,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,14,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,15,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,16,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,17,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,18,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,5,19,1,-20,0.7,20,0.95,2.20E-07,undefined,-0.000469049,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,0,1,-20,0.7,20,0.95,4.66E-09,6.82938E-05,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,1,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,2,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
